Drug_ID,Food,Impact,Effect
DB00022,caffeine,increase,metabolism
DB00030,alcohol,impair,glycemic_control
DB00033,alcohol,cause,fatigue
DB00054,herb,increase,hemorrhage
DB00059,alcohol,cause,hepatoxicity
DB00060,alcohol,cause,hepatoxicity
DB00063,herb,increase,hemorrhage
DB00068,alcohol,cause,hepatoxicity
DB00071,alcohol,reduce,insulin
DB00091,potassium_containing_products,increase,hyperkalemia
DB00121,egg_whites,reduce,drug_absorption
DB00137,vitamin_C,increase,drug_absorption
DB00178,potassium_containing_products,increase,hyperkalemia
DB00188,St_Johns_Wort,reduce,serum_concentration
DB00188,grapefruit_products,increase,serum_concentration
DB00193,alcohol,potentiate,central_nervous_system
DB00204,grapefruit_products,increase,serum_concentration
DB00204,St_Johns_Wort,reduce,serum_concentration
DB00208,fatty_food,increase,drug_absorption
DB00227,grapefruit_products,increase,myopathy
DB00230,alcohol,increase,central_nervous_system
DB00242,echinacea,reduce,effectiveness
DB00248,grapefruit_products,increase,serum_concentration
DB00248,St_Johns_Wort,reduce,serum_concentration
DB00252,alcohol,increase,serum_concentration
DB00254,ions,reduce,calcium_supplements
DB00260,fatty_food,reduce,drug_absorption
DB00273,ketogenic_diet,increase,kidney_calculi
DB00277,alcohol,reduce,clearance
DB00278,grapefruit_products,increase,serum_concentration
DB00285,St_Johns_Wort,increase,serotonin
DB00291,echinacea,reduce,effectiveness
DB00309,grapefruit_products,increase,serum_concentration
DB00309,St_Johns_Wort,reduce,serum_concentration
DB00316,alcohol,increase,hepatotoxicity
DB00320,grapefruit_products,increase,serum_concentration
DB00328,alcohol,increase,hemorrhage
DB00334,alcohol,potentiate,adverse_effects
DB00342,grapefruit_products,increase,qt_prolongation
DB00349,alcohol,increase,drug_absorption
DB00353,grapefruit_products,increase,serum_concentration
DB00361,grapefruit_products,increase,serum_concentration
DB00361,St_Johns_Wort,reduce,serum_concentration
DB00363,St_Johns_Wort,reduce,serum_concentration
DB00363,caffeine,reduce,metabolism
DB00366,alcohol,increase,drowsiness
DB00384,potassium_containing_products,increase,hyperkalemia
DB00390,potassium_containing_products,cause,cardiac_arrhythmia
DB00390,St_Johns_Wort,decrease,digoxin_levels
DB00391,alcohol,enhance,sedation_procedure
DB00398,grapefruit_products,increase,serum_concentration
DB00398,St_Johns_Wort,reduce,serum_concentration
DB00402,fatty_food,decrease,drug_absorption
DB00404,alcohol,potentiate,central_nervous_system_depressants
DB00405,alcohol,increase,drowsiness
DB00418,alcohol,cause,central_nervous_system
DB00420,antacids,reduce,drug_absorption
DB00421,potassium_containing_products,increase,hyperkalemia
DB00422,alcohol,cause,extended_release_formulations
DB00427,alcohol,increase,drowsiness
DB00434,alcohol,potentiate,sedation_procedure
DB00444,grapefruit_products,increase,serum_concentration
DB00444,St_Johns_Wort,reduce,serum_concentration
DB00451,high_fiber_foods,reduce,drug_absorption
DB00459,alcohol,increase,congenital_abnormality
DB00461,alcohol,aggravate,gastrointestinal_irritation
DB00474,alcohol,cause,central_nervous_system_depressants
DB00476,alcohol,increase,liver_injury
DB00482,alcohol,increase,gastrointestinal_irritation
DB00490,alcohol,cause,central_nervous_system_depressants
DB00490,grapefruit_products,increase,plasma_concentration
DB00492,potassium_containing_products,increase,hyperkalemia
DB00500,alcohol,increase,ulcer
DB00503,St_Johns_Wort,reduce,effectiveness
DB00515,echinacea,reduce,effectiveness
DB00518,fatty_food,increase,drug_absorption
DB00519,potassium_containing_products,increase,hyperkalemia
DB00528,alcohol,increase,vasodilator_agents
DB00528,grapefruit_products,increase,serum_concentration
DB00530,grapefruit_products,increase,serum_concentration
DB00530,St_Johns_Wort,reduce,serum_concentration
DB00537,milk,decrease,drug_absorption
DB00541,grapefruit_products,increase,serum_concentration
DB00541,St_Johns_Wort,reduce,serum_concentration
DB00542,potassium_containing_products,increase,hyperkalemia
DB00548,alcohol,cause,flushing
DB00551,alcohol,cause,rash
DB00551,iron_supplements,reduce,acetohydroxamic_acid
DB00557,alcohol,potentiate,adverse_effects
DB00563,milk,reduce,drug_absorption
DB00563,caffeine,reduce,effectiveness
DB00564,alcohol,increase,drowsiness
DB00564,St_Johns_Wort,reduce,serum_concentration
DB00570,grapefruit_products,increase,serum_concentration
DB00570,St_Johns_Wort,reduce,serum_concentration
DB00571,alcohol,increase,plasma_concentration
DB00571,licorice,increase,drug_exposure
DB00580,alcohol,increase,gastrointestinal_hemorrhage
DB00584,potassium_containing_products,increase,hyperkalemia
DB00586,alcohol,increase,gastrointestinal_irritation
DB00603,St_Johns_Wort,decrease,effectiveness
DB00605,alcohol,increase,gastrointestinal_hemorrhage
DB00619,grapefruit_products,increase,serum_concentration
DB00619,St_Johns_Wort,reduce,serum_concentration
DB00627,alcohol,increase,flushing
DB00631,echinacea,reduce,effectiveness
DB00641,grapefruit_products,increase,adverse_effects
DB00642,folic_acid,reduce,gastrointestinal_irritation
DB00642,vitamin_supplements,reduce,gastrointestinal_irritation
DB00649,alcohol,increase,liver_injury
DB00655,alcohol,increase,serum_concentration
DB00655,grapefruit_products,increase,estrone_concentrations
DB00657,alcohol,potentiate,drug_efficacy
DB00660,alcohol,increase,central_nervous_system_depressants
DB00661,grapefruit_products,increase,serum_concentration
DB00662,alcohol,increase,central_nervous_system_depressants
DB00666,alcohol,increase,osteoporosis
DB00669,alcohol,increase,hemorrhage
DB00675,St_Johns_Wort,reduce,serum_concentration
DB00679,alcohol,potentiate,central_nervous_system_depressants
DB00682,vitamin_K,reduce,effectiveness
DB00682,grapefruit_products,increase,hemorrhage
DB00682,St_Johns_Wort,reduce,effectiveness
DB00686,herb,increase,hemorrhage
DB00691,potassium_containing_products,increase,hyperkalemia
DB00695,alcohol,increase,hypotension
DB00700,grapefruit_products,increase,serum_concentration
DB00701,alcohol,impair,metabolism
DB00708,alcohol,potentiate,central_nervous_system_depressants
DB00708,grapefruit_products,increase,central_nervous_system
DB00714,alcohol,potentiate,hypotension
DB00722,potassium_containing_products,increase,hyperkalemia
DB00726,alcohol,increase,adverse_effects
DB00727,alcohol,increase,hypotension
DB00737,alcohol,cause,central_nervous_system_depressants
DB00744,grapefruit_products,reduce,metabolism
DB00744,St_Johns_Wort,increase,metabolism
DB00747,grapefruit_products,increase,biological_availability
DB00748,alcohol,increase,drowsiness
DB00752,alcohol,increase,central_nervous_system_depressants
DB00752,St_Johns_Wort,increase,serotonin
DB00752,tyramine,cause,hypertension
DB00765,alcohol,increase,central_nervous_system_depressants
DB00771,alcohol,increase,central_nervous_system_depressants
DB00773,grapefruit_products,increase,serum_concentration
DB00773,St_Johns_Wort,reduce,serum_concentration
DB00780,St_Johns_Wort,increase,serotonin
DB00780,tyramine,cause,hypertension
DB00780,caffeine,cause,hypertension
DB00790,potassium_containing_products,increase,hyperkalemia
DB00804,alcohol,increase,drowsiness
DB00808,alcohol,potentiate,hypotension
DB00811,alcohol,worsen,chronic_hepatitis_c
DB00820,alcohol,potentiate,hypotension
DB00820,grapefruit_products,increase,serum_concentration
DB00831,alcohol,potentiate,central_nervous_system_depressants
DB00834,grapefruit_products,increase,serum_concentration
DB00839,alcohol,increase,hypoglycemia
DB00842,alcohol,potentiate,central_nervous_system
DB00844,alcohol,increase,central_nervous_system_depressants
DB00850,alcohol,increase,hypotension
DB00857,caffeine,reduce,metabolism
