Food,Food_CUI
echinacea,C1095869
garlic,C0993630
ginger,C0162751
bilberry,C0453269
danshen,C0696940
piracetam,C0031977
ginkgo_biloba,C0330206
fluids,C0016286
alcohol,C0001975
vitamin_supplements,C0681579
food,C0016452
grapefruit_products,C0947567
ions,C0022023
caffeine,C0006644
flavonoids,C0596577
vitamin_C,C0003968
water,C0043047
folic_acid,C0016410
antacids,C0003138
licorice,C0086555
ginseng,C0086767
ginkgo,C0330206
milk,C2702362
phenylalanine_tyrosine,C0369827
high_fiber_foods,C0475633
fat,C3272929
calcium,C0006675
iron_supplements,C0721124
magnesium,C0373675
vitamins,C0042890
herb,C0019240
salt_intake,C0489767
tyramine,C0041479
potassium_containing_products,C0032821
fatty_foods,C0453819
vitamin_K,C0042878
chocolate,C0008299
histamine,C0019588
vitamin_a_supplements,C3661611
calcium_supplement,C3540037
avocado,C0330230
fruit_juice,C0452453
goitrogenic_foods,C0018025
mineral_supplements,C0556112
solid_foods,C0453855
iodine_intake,C4263590
eggs,C0013710
cheeses,C0007968
nuts,C0028723
oils,C0028908
butter,C0006494
herb,C0019240
egg_whites,C0013704
St_Johns_Wort,C0813171
fatty_food,C0453819
ions,C0022023
ketogenic_diet,C0259972
xanthines,C0043318
furanocoumarins,C0016859
citrate,C0008857
snacks,C0453863
